pdd,melt
26.0239125,207.5959699
30.26115,426.470829
33.33109167,713.6919022
37.28612917,502.2561159
18.13773333,141.0274534
5.692820833,12.37184
2.249154167,0.153335124
18.88310417,319.2252526
42.64987083,774.3149424
24.29967917,394.2406012
9.670208333,76.74207973
0.70125,1.93871652
4.195958333,16.13821363
2.074841667,9.122005641
29.26039167,417.1452065
50.94165833,906.4868011
40.55292917,649.6407626
8.6162625,77.59140214
2.996508333,12.95094644
1.718266667,3.056641102
9.501654167,120.2522776
16.539925,298.27307
29.79157917,613.3601046
5.1562375,52.31406295
0.902858333,1.39508152
1.74645,646.1018581
23.996125,335.9131321
0.33425,4.22259002
21.69400833,335.3650264
21.95185833,458.1194355
9.937804167,94.75608462
4.925345833,25.05674458
6.8424875,24.3871932
7.573916667,115.2939014
23.17602917,488.0218277
23.35811667,655.4004083
15.60045,438.121218
1.426541667,18.17843354
5.315116667,85.09439111
4.042295833,178.5236816
10.95885833,280.4328771
20.01230833,525.4566053
6.391058333,78.2398596
1.360833333,11.00681904
0.432058333,0.154992029
10.38754583,189.6503708
11.90258333,354.1957798
16.95549583,406.2379314
3.144766667,21.6279825
6.611291667,51.45771345
15.95929583,232.4008732
26.90475,635.9869118
36.40631667,740.7195559
5.3087875,108.485287
0.2778375,0.060143827
9.520495833,105.7192426
16.8653875,394.401845
23.93827083,493.8508692
11.11895417,135.8677816
1.388058333,4.435824037
2.293141667,4.196198195
0.9032375,3.656656864
2.613145833,23.34695509
14.2572125,239.0234909
35.08077083,456.6983544
37.27812083,506.145242
1.17555,4.487380505
0.3698875,0.685489275
7.273495833,93.02697549
32.03992083,514.2751837
22.28370227,266.4930455
30.80464167,194.8057477
5.047316667,20.6534605
1.455933333,2.977967024
